unit,cycle,reliability,y_obs,RUL
3,54,1.0,0,130
3,55,1.0,0,130
3,56,1.0,0,130
3,57,1.0,0,130
3,58,1.0,0,130
3,59,1.0,0,130
3,60,1.0,0,130
3,61,1.0,0,130
3,62,1.0,0,130
3,63,1.0,0,130
3,64,1.0,0,130
3,65,1.0,0,130
3,66,1.0,0,129
3,67,1.0,0,128
3,68,1.0,0,127
3,69,1.0,0,126
3,70,1.0,0,125
3,71,1.0,0,124
3,72,1.0,0,123
3,73,1.0,0,122
3,74,1.0,0,121
3,75,1.0,0,120
3,76,1.0,0,119
3,77,1.0,0,118
3,78,1.0,0,117
3,79,1.0,0,116
3,80,1.0,0,115
3,81,1.0,0,114
3,82,1.0,0,113
3,83,1.0,0,112
3,84,1.0,0,111
3,85,1.0,0,110
3,86,1.0,0,109
3,87,1.0,0,108
3,88,1.0,0,107
3,89,1.0,0,106
3,90,1.0,0,105
3,91,1.0,0,104
3,92,1.0,0,103
3,93,1.0,0,102
3,94,1.0,0,101
3,95,1.0,0,100
3,96,1.0,0,99
3,97,1.0,0,98
3,98,1.0,0,97
3,99,1.0,0,96
3,100,1.0,0,95
3,101,1.0,0,94
3,102,1.0,0,93
3,103,1.0,0,92
3,104,1.0,0,91
3,105,1.0,0,90
3,106,1.0,0,89
3,107,1.0,0,88
3,108,1.0,0,87
3,109,1.0,0,86
3,110,1.0,0,85
3,111,1.0,0,84
3,112,1.0,1,83
3,113,1.0,1,82
3,114,1.0,1,81
3,115,1.0,1,80
3,116,1.0,1,79
3,117,1.0,1,78
3,118,1.0,1,77
3,119,1.0,1,76
3,120,1.0,1,75
3,121,1.0,1,74
3,122,1.0,1,73
3,123,1.0,1,72
3,124,1.0,1,71
3,125,1.0,1,70
3,126,1.0,1,69
4,1,1.0,0,130
4,2,1.0,0,130
4,3,1.0,0,130
4,4,1.0,0,130
4,5,1.0,0,130
4,6,1.0,0,130
4,7,1.0,0,130
4,8,1.0,0,130
4,9,1.0,0,130
4,10,1.0,0,130
4,11,1.0,0,130
4,12,1.0,0,130
4,13,1.0,0,130
4,14,1.0,0,130
4,15,1.0,0,130
4,16,1.0,0,130
4,17,1.0,0,130
4,18,1.0,0,130
4,19,1.0,0,130
4,20,1.0,0,130
4,21,1.0,0,130
4,22,1.0,0,130
4,23,1.0,0,130
4,24,1.0,0,130
4,25,1.0,0,130
4,26,1.0,0,130
4,27,1.0,0,130
4,28,1.0,0,130
4,29,1.0,0,130
4,30,1.0,0,130
4,31,1.0,0,130
4,32,1.0,0,130
4,33,1.0,0,130
4,34,1.0,0,130
4,35,1.0,0,130
4,36,1.0,0,130
4,37,1.0,0,130
4,38,1.0,0,130
4,39,1.0,0,130
4,40,1.0,0,130
4,41,1.0,0,130
4,42,1.0,0,130
4,43,1.0,0,130
4,44,1.0,0,130
4,45,1.0,0,130
4,46,1.0,0,130
4,47,1.0,0,130
4,48,1.0,0,130
4,49,1.0,0,130
4,50,1.0,0,130
4,51,1.0,0,130
4,52,1.0,0,130
4,53,1.0,0,130
4,54,1.0,0,130
4,55,1.0,0,130
4,56,1.0,0,130
4,57,1.0,0,130
4,58,1.0,0,130
4,59,1.0,0,129
4,60,1.0,0,128
4,61,1.0,0,127
4,62,1.0,0,126
4,63,1.0,0,125
4,64,1.0,0,124
4,65,1.0,0,123
4,66,1.0,0,122
4,67,1.0,0,121
4,68,1.0,0,120
4,69,1.0,0,119
4,70,1.0,0,118
4,71,1.0,0,117
4,72,1.0,0,116
4,73,1.0,0,115
4,74,1.0,0,114
4,75,1.0,0,113
4,76,1.0,0,112
4,77,1.0,0,111
4,78,1.0,0,110
4,79,1.0,0,109
4,80,1.0,0,108
4,81,1.0,0,107
4,82,1.0,0,106
4,83,1.0,0,105
4,84,1.0,0,104
4,85,1.0,0,103
4,86,1.0,0,102
4,87,1.0,0,101
4,88,1.0,0,100
4,89,1.0,0,99
4,90,1.0,0,98
4,91,1.0,0,97
4,92,1.0,0,96
4,93,1.0,0,95
4,94,1.0,0,94
4,95,1.0,0,93
4,96,1.0,0,92
4,97,1.0,0,91
4,98,1.0,0,90
4,99,1.0,0,89
4,100,1.0,0,88
4,101,1.0,0,87
4,102,1.0,0,86
4,103,1.0,0,85
4,104,1.0,0,84
4,105,1.0,0,83
4,106,1.0,0,82
5,1,1.0,0,130
5,2,1.0,0,130
5,3,1.0,0,130
5,4,1.0,0,130
5,5,1.0,0,130
5,6,1.0,0,130
5,7,1.0,0,130
5,8,1.0,0,130
5,9,1.0,0,130
5,10,1.0,0,130
5,11,1.0,0,130
5,12,1.0,0,130
5,13,1.0,0,130
5,14,1.0,0,130
5,15,1.0,0,130
5,16,1.0,0,130
5,17,1.0,0,130
5,18,1.0,0,130
5,19,1.0,0,130
5,20,1.0,0,130
5,21,1.0,0,130
5,22,1.0,0,130
5,23,1.0,0,130
5,24,1.0,0,130
5,25,1.0,0,130
5,26,1.0,0,130
5,27,1.0,0,130
5,28,1.0,0,130
5,29,1.0,0,130
5,30,1.0,0,130
5,31,1.0,0,130
5,32,1.0,0,130
5,33,1.0,0,130
5,34,1.0,0,130
5,35,1.0,0,130
5,36,1.0,0,130
5,37,1.0,0,130
5,38,1.0,0,130
5,39,1.0,0,130
5,40,1.0,0,130
5,41,1.0,0,130
5,42,1.0,0,130
5,43,1.0,0,130
5,44,1.0,0,130
5,45,1.0,0,130
5,46,1.0,0,130
5,47,1.0,0,130
5,48,1.0,0,130
5,49,1.0,0,130
5,50,1.0,0,130
5,51,1.0,0,130
5,52,1.0,0,130
5,53,1.0,0,130
5,54,1.0,0,130
5,55,1.0,0,130
5,56,1.0,0,130
5,57,1.0,0,130
5,58,1.0,0,130
5,59,1.0,0,130
5,60,1.0,0,129
5,61,1.0,0,128
5,62,1.0,0,127
5,63,1.0,0,126
5,64,1.0,0,125
5,65,1.0,0,124
5,66,1.0,0,123
5,67,1.0,0,122
5,68,1.0,0,121
5,69,1.0,0,120
5,70,1.0,0,119
5,71,1.0,0,118
5,72,1.0,0,117
5,73,1.0,0,116
5,74,1.0,0,115
5,75,1.0,0,114
5,76,1.0,0,113
5,77,1.0,0,112
5,78,1.0,0,111
5,79,1.0,0,110
5,80,1.0,0,109
5,81,1.0,0,108
5,82,1.0,0,107
5,83,1.0,0,106
5,84,1.0,0,105
5,85,1.0,0,104
5,86,1.0,0,103
5,87,1.0,0,102
5,88,1.0,0,101
5,89,1.0,0,100
5,90,1.0,0,99
5,91,1.0,0,98
5,92,1.0,0,97
5,93,1.0,0,96
5,94,1.0,0,95
5,95,1.0,0,94
5,96,1.0,0,93
5,97,1.0,0,92
5,98,1.0,0,91
6,1,1.0,0,130
6,2,1.0,0,130
6,3,1.0,0,130
6,4,1.0,0,130
6,5,1.0,0,130
6,6,1.0,0,130
6,7,1.0,0,130
6,8,1.0,0,130
6,9,1.0,0,130
6,10,1.0,0,130
6,11,1.0,0,130
6,12,1.0,0,130
6,13,1.0,0,130
6,14,1.0,0,130
6,15,1.0,0,130
6,16,1.0,0,130
6,17,1.0,0,130
6,18,1.0,0,130
6,19,1.0,0,130
6,20,1.0,0,130
6,21,1.0,0,130
6,22,1.0,0,130
6,23,1.0,0,130
6,24,1.0,0,130
6,25,1.0,0,130
6,26,1.0,0,130
6,27,1.0,0,130
6,28,1.0,0,130
6,29,1.0,0,130
6,30,1.0,0,130
6,31,1.0,0,130
6,32,1.0,0,130
6,33,1.0,0,130
6,34,1.0,0,130
6,35,1.0,0,130
6,36,1.0,0,130
6,37,1.0,0,130
6,38,1.0,0,130
6,39,1.0,0,130
6,40,1.0,0,130
6,41,1.0,0,130
6,42,1.0,0,130
6,43,1.0,0,130
6,44,1.0,0,130
6,45,1.0,0,130
6,46,1.0,0,130
6,47,1.0,0,130
6,48,1.0,0,130
6,49,1.0,0,130
6,50,1.0,0,130
6,51,1.0,0,130
6,52,1.0,0,130
6,53,1.0,0,130
6,54,1.0,0,130
6,55,1.0,0,130
6,56,1.0,0,130
6,57,1.0,0,130
6,58,1.0,0,130
6,59,1.0,0,130
6,60,1.0,0,130
6,61,1.0,0,130
6,62,1.0,0,130
6,63,1.0,0,130
6,64,1.0,0,130
6,65,1.0,0,130
6,66,1.0,0,130
6,67,1.0,0,130
6,68,1.0,0,130
6,69,1.0,0,129
6,70,1.0,0,128
6,71,1.0,0,127
6,72,1.0,0,126
6,73,1.0,0,125
6,74,1.0,0,124
6,75,1.0,0,123
6,76,1.0,0,122
6,77,1.0,0,121
6,78,1.0,0,120
6,79,1.0,0,119
6,80,1.0,0,118
6,81,1.0,0,117
6,82,1.0,0,116
6,83,1.0,0,115
6,84,1.0,0,114
6,85,1.0,0,113
6,86,1.0,0,112
6,87,1.0,0,111
6,88,1.0,0,110
6,89,1.0,0,109
6,90,1.0,0,108
6,91,1.0,0,107
6,92,1.0,0,106
6,93,1.0,0,105
6,94,1.0,0,104
6,95,1.0,0,103
6,96,1.0,0,102
6,97,1.0,0,101
6,98,1.0,0,100
6,99,1.0,0,99
6,100,1.0,0,98
6,101,1.0,0,97
6,102,1.0,0,96
6,103,1.0,0,95
6,104,1.0,0,94
6,105,1.0,0,93
7,1,1.0,0,130
7,2,1.0,0,130
7,3,1.0,0,130
7,4,1.0,0,130
7,5,1.0,0,130
7,6,1.0,0,130
7,7,1.0,0,130
7,8,1.0,0,130
7,9,1.0,0,130
7,10,1.0,0,130
7,11,1.0,0,130
7,12,1.0,0,130
7,13,1.0,0,130
7,14,1.0,0,130
7,15,1.0,0,130
7,16,1.0,0,130
7,17,1.0,0,130
7,18,1.0,0,130
7,19,1.0,0,130
7,20,1.0,0,130
7,21,1.0,0,130
7,22,1.0,0,130
7,23,1.0,0,130
7,24,1.0,0,130
7,25,1.0,0,130
7,26,1.0,0,130
7,27,1.0,0,130
7,28,1.0,0,130
7,29,1.0,0,130
7,30,1.0,0,130
7,31,1.0,0,130
7,32,1.0,0,130
7,33,1.0,0,130
7,34,1.0,0,130
7,35,1.0,0,130
7,36,1.0,0,130
7,37,1.0,0,130
7,38,1.0,0,130
7,39,1.0,0,130
7,40,1.0,0,130
7,41,1.0,0,130
7,42,1.0,0,130
7,43,1.0,0,130
7,44,1.0,0,130
7,45,1.0,0,130
7,46,1.0,0,130
7,47,1.0,0,130
7,48,1.0,0,130
7,49,1.0,0,130
7,50,1.0,0,130
7,51,1.0,0,130
7,52,1.0,0,130
7,53,1.0,0,130
7,54,1.0,0,130
7,55,1.0,0,130
7,56,1.0,0,130
7,57,1.0,0,130
7,58,1.0,0,130
7,59,1.0,0,130
7,60,1.0,0,130
7,61,1.0,0,130
7,62,1.0,0,130
7,63,1.0,0,130
7,64,1.0,0,130
7,65,1.0,0,130
7,66,1.0,0,130
7,67,1.0,0,130
7,68,1.0,0,130
7,69,1.0,0,130
7,70,1.0,0,130
7,71,1.0,0,130
7,72,1.0,0,130
7,73,1.0,0,130
7,74,1.0,0,130
7,75,1.0,0,130
7,76,1.0,0,130
7,77,1.0,0,130
7,78,1.0,0,130
7,79,1.0,0,130
7,80,1.0,0,130
7,81,1.0,0,130
7,82,1.0,0,130
7,83,1.0,0,130
7,84,1.0,0,130
7,85,1.0,0,130
7,86,1.0,0,130
7,87,1.0,0,130
7,88,1.0,0,130
7,89,1.0,0,130
7,90,1.0,0,130
7,91,1.0,0,130
7,92,1.0,0,130
7,93,1.0,0,130
7,94,1.0,0,130
7,95,1.0,0,130
7,96,1.0,0,130
7,97,1.0,0,130
7,98,1.0,0,130
7,99,1.0,0,130
7,100,1.0,0,130
7,101,1.0,0,130
7,102,1.0,0,130
7,103,1.0,0,130
7,104,1.0,0,130
7,105,1.0,0,130
7,106,1.0,0,130
7,107,1.0,0,130
7,108,1.0,0,130
7,109,1.0,0,130
7,110,1.0,0,130
7,111,1.0,0,130
7,112,1.0,0,130
7,113,1.0,0,130
7,114,1.0,0,130
7,115,1.0,0,130
7,116,1.0,0,130
7,117,1.0,0,130
7,118,1.0,0,130
7,119,1.0,0,130
7,120,1.0,0,130
7,121,1.0,0,130
7,122,1.0,0,129
7,123,1.0,0,128
7,124,1.0,0,127
7,125,1.0,0,126
7,126,1.0,0,125
7,127,1.0,0,124
7,128,1.0,0,123
7,129,1.0,0,122
7,130,1.0,0,121
7,131,1.0,0,120
7,132,1.0,0,119
7,133,1.0,0,118
7,134,1.0,0,117
7,135,1.0,0,116
7,136,1.0,0,115
7,137,1.0,0,114
7,138,1.0,0,113
7,139,1.0,0,112
7,140,1.0,0,111
7,141,1.0,0,110
7,142,1.0,0,109
7,143,1.0,0,108
7,144,1.0,0,107
7,145,1.0,0,106
7,146,1.0,0,105
7,147,1.0,0,104
7,148,1.0,0,103
7,149,1.0,0,102
7,150,1.0,0,101
7,151,1.0,0,100
7,152,1.0,0,99
7,153,1.0,0,98
7,154,1.0,0,97
7,155,1.0,0,96
7,156,1.0,0,95
7,157,1.0,0,94
7,158,1.0,0,93
7,159,1.0,0,92
7,160,1.0,0,91
8,1,1.0,0,130
8,2,1.0,0,130
8,3,1.0,0,130
8,4,1.0,0,130
8,5,1.0,0,130
8,6,1.0,0,130
8,7,1.0,0,130
8,8,1.0,0,130
8,9,1.0,0,130
8,10,1.0,0,130
8,11,1.0,0,130
8,12,1.0,0,130
8,13,1.0,0,130
8,14,1.0,0,130
8,15,1.0,0,130
8,16,1.0,0,130
8,17,1.0,0,130
8,18,1.0,0,130
8,19,1.0,0,130
8,20,1.0,0,130
8,21,1.0,0,130
8,22,1.0,0,130
8,23,1.0,0,130
8,24,1.0,0,130
8,25,1.0,0,130
8,26,1.0,0,130
8,27,1.0,0,130
8,28,1.0,0,130
8,29,1.0,0,130
8,30,1.0,0,130
8,31,1.0,0,130
8,32,1.0,0,130
8,33,1.0,0,130
8,34,1.0,0,130
8,35,1.0,0,130
8,36,1.0,0,130
8,37,1.0,0,130
8,38,1.0,0,130
8,39,1.0,0,130
8,40,1.0,0,130
8,41,1.0,0,130
8,42,1.0,0,130
8,43,1.0,0,130
8,44,1.0,0,130
8,45,1.0,0,130
8,46,1.0,0,130
8,47,1.0,0,130
8,48,1.0,0,130
8,49,1.0,0,130
8,50,1.0,0,130
8,51,1.0,0,130
8,52,1.0,0,130
8,53,1.0,0,130
8,54,1.0,0,130
8,55,1.0,0,130
8,56,1.0,0,130
8,57,1.0,0,130
8,58,1.0,0,130
8,59,1.0,0,130
8,60,1.0,0,130
8,61,1.0,0,130
8,62,1.0,0,130
8,63,1.0,0,130
8,64,1.0,0,130
8,65,1.0,0,130
8,66,1.0,0,130
8,67,1.0,0,130
8,68,1.0,0,130
8,69,1.0,0,130
8,70,1.0,0,130
8,71,1.0,0,130
8,72,1.0,0,130
8,73,1.0,0,130
8,74,1.0,0,130
8,75,1.0,0,130
8,76,1.0,0,130
8,77,1.0,0,130
8,78,1.0,0,130
8,79,1.0,0,130
8,80,1.0,0,130
8,81,1.0,0,130
8,82,1.0,0,130
8,83,1.0,0,130
8,84,1.0,0,130
8,85,1.0,0,130
8,86,1.0,0,130
8,87,1.0,0,130
8,88,1.0,0,130
8,89,1.0,0,130
8,90,1.0,0,130
8,91,1.0,0,130
8,92,1.0,0,130
8,93,1.0,0,130
8,94,1.0,0,130
8,95,1.0,0,130
8,96,1.0,0,130
8,97,1.0,0,130
8,98,1.0,0,130
8,99,1.0,0,130
8,100,1.0,0,130
8,101,1.0,0,130
8,102,1.0,0,130
8,103,1.0,0,130
8,104,1.0,0,130
8,105,1.0,0,130
8,106,1.0,0,130
8,107,1.0,0,130
8,108,1.0,0,130
8,109,1.0,0,130
8,110,1.0,0,130
8,111,1.0,0,130
8,112,1.0,0,130
8,113,1.0,0,130
8,114,1.0,0,130
8,115,1.0,0,130
8,116,1.0,0,130
8,117,1.0,0,130
8,118,1.0,0,130
8,119,1.0,0,130
8,120,1.0,0,130
8,121,1.0,0,130
8,122,1.0,0,130
8,123,1.0,0,130
8,124,1.0,0,130
8,125,1.0,0,130
8,126,1.0,0,130
8,127,1.0,0,130
8,128,1.0,0,130
8,129,1.0,0,130
8,130,1.0,0,130
8,131,1.0,0,130
8,132,1.0,0,129
8,133,1.0,0,128
8,134,1.0,0,127
8,135,1.0,0,126
8,136,1.0,0,125
8,137,1.0,0,124
8,138,1.0,0,123
8,139,1.0,0,122
8,140,1.0,0,121
8,141,1.0,0,120
8,142,1.0,0,119
8,143,1.0,0,118
8,144,1.0,0,117
8,145,1.0,0,116
8,146,1.0,0,115
8,147,1.0,0,114
8,148,1.0,0,113
8,149,1.0,0,112
8,150,1.0,0,111
8,151,1.0,0,110
8,152,1.0,0,109
8,153,1.0,0,108
8,154,1.0,0,107
8,155,1.0,0,106
8,156,1.0,0,105
8,157,1.0,0,104
8,158,1.0,0,103
8,159,1.0,0,102
8,160,1.0,0,101
8,161,1.0,0,100
8,162,1.0,0,99
8,163,1.0,0,98
8,164,1.0,0,97
8,165,1.0,0,96
8,166,1.0,0,95
9,1,1.0,0,130
9,2,1.0,0,130
9,3,1.0,0,130
9,4,1.0,0,130
9,5,1.0,0,130
9,6,1.0,0,130
9,7,1.0,0,130
9,8,1.0,0,130
9,9,1.0,0,130
9,10,1.0,0,130
9,11,1.0,0,130
9,12,1.0,0,130
9,13,1.0,0,130
9,14,1.0,0,130
9,15,1.0,0,130
9,16,1.0,0,130
9,17,1.0,0,130
9,18,1.0,0,130
9,19,1.0,0,130
9,20,1.0,0,130
9,21,1.0,0,130
9,22,1.0,0,130
9,23,1.0,0,130
9,24,1.0,0,130
9,25,1.0,0,130
9,26,1.0,0,130
9,27,1.0,0,130
9,28,1.0,0,130
9,29,1.0,0,130
9,30,1.0,0,130
9,31,1.0,0,130
9,32,1.0,0,130
9,33,1.0,0,130
9,34,1.0,0,130
9,35,1.0,0,130
9,36,1.0,0,130
9,37,1.0,0,129
9,38,1.0,0,128
9,39,1.0,0,127
9,40,1.0,0,126
9,41,1.0,0,125
9,42,1.0,0,124
9,43,1.0,0,123
9,44,1.0,0,122
9,45,1.0,0,121
9,46,1.0,0,120
9,47,1.0,0,119
9,48,1.0,0,118
9,49,1.0,0,117
9,50,1.0,0,116
9,51,1.0,0,115
9,52,1.0,0,114
9,53,1.0,0,113
9,54,1.0,0,112
9,55,1.0,0,111
10,1,1.0,0,130
10,2,1.0,0,130
10,3,1.0,0,130
10,4,1.0,0,130
10,5,1.0,0,130
10,6,1.0,0,130
10,7,1.0,0,130
10,8,1.0,0,130
10,9,1.0,0,130
10,10,1.0,0,130
10,11,1.0,0,130
10,12,1.0,0,130
10,13,1.0,0,130
10,14,1.0,0,130
10,15,1.0,0,130
10,16,1.0,0,130
10,17,1.0,0,130
10,18,1.0,0,130
10,19,1.0,0,130
10,20,1.0,0,130
10,21,1.0,0,130
10,22,1.0,0,130
10,23,1.0,0,130
10,24,1.0,0,130
10,25,1.0,0,130
10,26,1.0,0,130
10,27,1.0,0,130
10,28,1.0,0,130
10,29,1.0,0,130
10,30,1.0,0,130
10,31,1.0,0,130
10,32,1.0,0,130
10,33,1.0,0,130
10,34,1.0,0,130
10,35,1.0,0,130
10,36,1.0,0,130
10,37,1.0,0,130
10,38,1.0,0,130
10,39,1.0,0,130
10,40,1.0,0,130
10,41,1.0,0,130
10,42,1.0,0,130
10,43,1.0,0,130
10,44,1.0,0,130
10,45,1.0,0,130
10,46,1.0,0,130
10,47,1.0,0,130
10,48,1.0,0,130
10,49,1.0,0,130
10,50,1.0,0,130
10,51,1.0,0,130
10,52,1.0,0,130
10,53,1.0,0,130
10,54,1.0,0,130
10,55,1.0,0,130
10,56,1.0,0,130
10,57,1.0,0,130
10,58,1.0,0,130
10,59,1.0,0,130
10,60,1.0,0,130
10,61,1.0,0,130
10,62,1.0,0,130
10,63,1.0,0,130
10,64,1.0,0,130
10,65,1.0,0,130
10,66,1.0,0,130
10,67,1.0,0,130
10,68,1.0,0,130
10,69,1.0,0,130
10,70,1.0,0,130
10,71,1.0,0,130
10,72,1.0,0,130
10,73,1.0,0,130
10,74,1.0,0,130
10,75,1.0,0,130
10,76,1.0,0,130
10,77,1.0,0,130
10,78,1.0,0,130
10,79,1.0,0,130
10,80,1.0,0,130
10,81,1.0,0,130
10,82,1.0,0,130
10,83,1.0,0,130
10,84,1.0,0,130
10,85,1.0,0,130
10,86,1.0,0,130
10,87,1.0,0,130
10,88,1.0,0,130
10,89,1.0,0,130
10,90,1.0,0,130
10,91,1.0,0,130
10,92,1.0,0,130
10,93,1.0,0,130
10,94,1.0,0,130
10,95,1.0,0,130
10,96,1.0,0,130
10,97,1.0,0,130
10,98,1.0,0,130
10,99,1.0,0,130
10,100,1.0,0,130
10,101,1.0,0,130
10,102,1.0,0,130
10,103,1.0,0,130
10,104,1.0,0,130
10,105,1.0,0,130
10,106,1.0,0,130
10,107,1.0,0,130
10,108,1.0,0,130
10,109,1.0,0,130
10,110,1.0,0,130
10,111,1.0,0,130
10,112,1.0,0,130
10,113,1.0,0,130
10,114,1.0,0,130
10,115,1.0,0,130
10,116,1.0,0,130
10,117,1.0,0,130
10,118,1.0,0,130
10,119,1.0,0,130
10,120,1.0,0,130
10,121,1.0,0,130
10,122,1.0,0,130
10,123,1.0,0,130
10,124,1.0,0,130
10,125,1.0,0,130
10,126,1.0,0,130
10,127,1.0,0,130
10,128,1.0,0,130
10,129,1.0,0,130
10,130,1.0,0,130
10,131,1.0,0,130
10,132,1.0,0,130
10,133,1.0,0,130
10,134,1.0,0,130
10,135,1.0,0,130
10,136,1.0,0,130
10,137,1.0,0,130
10,138,1.0,0,130
10,139,1.0,0,130
10,140,1.0,0,130
10,141,1.0,0,130
10,142,1.0,0,130
10,143,1.0,0,130
10,144,1.0,0,130
10,145,1.0,0,130
10,146,1.0,0,130
10,147,1.0,0,130
10,148,1.0,0,130
10,149,1.0,0,130
10,150,1.0,0,130
10,151,1.0,0,130
10,152,1.0,0,130
10,153,1.0,0,130
10,154,1.0,0,130
10,155,1.0,0,130
10,156,1.0,0,130
10,157,1.0,0,130
10,158,1.0,0,130
10,159,1.0,0,129
10,160,1.0,0,128
10,161,1.0,0,127
10,162,1.0,0,126
10,163,1.0,0,125
10,164,1.0,0,124
10,165,1.0,0,123
10,166,1.0,0,122
10,167,1.0,0,121
10,168,1.0,0,120
10,169,1.0,0,119
10,170,1.0,0,118
10,171,1.0,0,117
10,172,1.0,0,116
10,173,1.0,0,115
10,174,1.0,0,114
10,175,1.0,0,113
10,176,1.0,0,112
10,177,1.0,0,111
10,178,1.0,0,110
10,179,1.0,0,109
10,180,1.0,0,108
10,181,1.0,0,107
10,182,1.0,0,106
10,183,1.0,0,105
10,184,1.0,0,104
10,185,1.0,0,103
10,186,1.0,0,102
10,187,1.0,0,101
10,188,1.0,0,100
10,189,1.0,0,99
10,190,1.0,0,98
10,191,1.0,0,97
10,192,1.0,0,96
11,1,1.0,0,130
11,2,1.0,0,130
11,3,1.0,0,130
11,4,1.0,0,130
11,5,1.0,0,130
11,6,1.0,0,130
11,7,1.0,0,130
11,8,1.0,0,130
11,9,1.0,0,130
11,10,1.0,0,130
11,11,1.0,0,130
11,12,1.0,0,130
11,13,1.0,0,130
11,14,1.0,0,130
11,15,1.0,0,130
11,16,1.0,0,130
11,17,1.0,0,130
11,18,1.0,0,130
11,19,1.0,0,130
11,20,1.0,0,130
11,21,1.0,0,130
11,22,1.0,0,130
11,23,1.0,0,130
11,24,1.0,0,130
11,25,1.0,0,130
11,26,1.0,0,130
11,27,1.0,0,130
11,28,1.0,0,130
11,29,1.0,0,130
11,30,1.0,0,130
11,31,1.0,0,130
11,32,1.0,0,130
11,33,1.0,0,130
11,34,1.0,0,130
11,35,1.0,0,130
11,36,1.0,0,130
11,37,1.0,0,130
11,38,1.0,0,130
11,39,1.0,0,130
11,40,1.0,0,130
11,41,1.0,0,130
11,42,1.0,0,130
11,43,1.0,0,130
11,44,1.0,0,130
11,45,1.0,0,130
11,46,1.0,0,130
11,47,1.0,0,130
11,48,1.0,0,130
11,49,1.0,0,130
11,50,1.0,0,130
11,51,1.0,0,129
11,52,1.0,0,128
11,53,1.0,0,127
11,54,1.0,0,126
11,55,1.0,0,125
11,56,1.0,0,124
11,57,1.0,0,123
11,58,1.0,0,122
11,59,1.0,0,121
11,60,1.0,0,120
11,61,1.0,0,119
11,62,1.0,0,118
11,63,1.0,0,117
11,64,1.0,0,116
11,65,1.0,0,115
11,66,1.0,0,114
11,67,1.0,0,113
11,68,1.0,0,112
11,69,1.0,0,111
11,70,1.0,0,110
11,71,1.0,0,109
11,72,1.0,0,108
11,73,1.0,0,107
11,74,1.0,0,106
11,75,1.0,0,105
